Model,Test Accuracy,Test Precision,Test Recall,Test F1,Test AUC,FPR,FNR,Train Time (s),CV F1 Mean,CV F1 Std,CV AUC Mean,Tuned CV F1
MLP,0.9465,0.9607,0.9154,0.9375,0.9892,0.0292,0.0846,13.63,0.9428,0.0108,0.9865,
SVM,0.9379,0.9395,0.9173,0.9283,0.9871,0.0461,0.0827,7.46,0.9377,0.0077,0.9843,0.9389
Random Forest,0.9301,0.9296,0.9094,0.9194,0.9795,0.0538,0.0906,0.87,0.937,0.0075,0.9823,0.94
XGBoost,0.9284,0.9363,0.8976,0.9166,0.9847,0.0476,0.1024,0.62,0.9397,0.0078,0.9861,0.9413
Logistic Regression,0.9215,0.908,0.9134,0.9107,0.9831,0.0722,0.0866,0.07,0.9263,0.0128,0.9805,0.9266
KNN,0.9154,0.9218,0.8819,0.9014,0.9615,0.0584,0.1181,0.01,0.9319,0.0075,0.971,
Decision Tree,0.9051,0.8948,0.8878,0.8913,0.9059,0.0814,0.1122,0.06,0.9229,0.0086,0.9251,
Naive Bayes,0.8991,0.9393,0.8228,0.8772,0.9655,0.0415,0.1772,0.01,0.9074,0.0081,0.9692,
